"job_schedule_type","job_count","avg_yearly_salary","avg_hourly_salary"
"Part-time","188",NULL,"38.6144947599857411"
"Part-time and Internship","5",NULL,"18.3000000000000000"
"Temp work and Internship","4",NULL,"21.1250000000000000"
"Part-time and Temp work","1",NULL,"47.0000000000000000"
"Part-time and Contractor","8",NULL,"49.4231252670288088"
"Full-time, Part-time, and Volunteer","1",NULL,"28.5000000000000000"
"Internship","66",NULL,"28.3439394054990826"
"Contractor and Temp work","510",NULL,"52.2462156669766295"
"Temp work","62",NULL,"41.8602419207173010"
"Full-time, Part-time, and Per diem","1",NULL,"23.2649993896484380"
"Full-time and Per diem","1",NULL,"19.5799999237060550"
"Full-time and Contractor","125",NULL,"55.5661999969482422"
"Full-time, Part-time, and Temp work","18",NULL,"40.7063891092936202"
"Full-time and Internship","29",NULL,"29.8405173071499529"
"Full-time, Contractor, and Internship","1",NULL,"25.9949989318847660"
"Full-time, Part-time, and Internship","103",NULL,"34.1286407118862117"
"Full-time and Temp work","62",NULL,"48.3529032122704293"
"Full-time, Part-time, and Contractor","22",NULL,"46.0754544518210673"
"Full-time, Temp work, and Internship","1",NULL,"20.5000000000000000"
"Full-time and Part-time","1317",NULL,"38.3898709615071614"
"Full-time","4100",NULL,"42.0407719686554699"
"Contractor","3890",NULL,"55.8087339386535488"
"Part-time, Contractor, and Temp work","5",NULL,"42.2000000000000000"
NULL,"126",NULL,"43.5272619156610397"
"Full-time, Contractor, and Temp work","19",NULL,"44.2631578947368421"
"Full-time","1","960000.000000000000",NULL
"Full-time","1","890000.000000000000",NULL
"Full-time","1","650000.000000000000",NULL
"Full-time","1","585000.000000000000",NULL
"Full-time","1","550000.000000000000",NULL
"Full-time","2","525000.000000000000",NULL
"Full-time","1","475000.000000000000",NULL
"Full-time","1","463500.000000000000",NULL
"Full-time","3","450000.000000000000",NULL
"Full-time","4","425000.000000000000",NULL
"Full-time","2","400000.000000000000",NULL
"Full-time","1","390000.000000000000",NULL
"Full-time","1","387460.000000000000",NULL
"Full-time","47","375000.000000000000",NULL
"Full-time","1","361000.000000000000",NULL
"Full-time","2","351500.000000000000",NULL
"Full-time","31","350000.000000000000",NULL
"Full-time","2","349500.000000000000",NULL
"Full-time","1","348000.000000000000",NULL
"Full-time","1","340000.000000000000",NULL
"Full-time","2","337500.000000000000",NULL
"Full-time","1","336500.000000000000",NULL
"Full-time","2","334720.000000000000",NULL
"Full-time","5","327330.000000000000",NULL
"Full-time","7","325000.000000000000",NULL
"Full-time","1","324000.000000000000",NULL
"Full-time","3","320000.000000000000",NULL
"Part-time, Contractor, and Temp work","1","320000.000000000000",NULL
"Full-time","4","315000.000000000000",NULL
"Full-time","1","314000.000000000000",NULL
"Full-time","1","313000.000000000000",NULL
"Full-time","1","310270.000000000000",NULL
"Full-time","1","310000.000000000000",NULL
"Full-time","1","309152.000000000000",NULL
"Full-time","1","308500.000000000000",NULL
"Full-time and Part-time","1","308000.000000000000",NULL
"Full-time","1","307710.000000000000",NULL
"Full-time","1","307500.000000000000",NULL
"Full-time and Part-time","1","305500.000000000000",NULL
"Full-time","3","305500.000000000000",NULL
"Full-time","1","302880.000000000000",NULL
"Full-time","1","302000.000000000000",NULL
"Full-time","1","301000.000000000000",NULL
NULL,"1","300000.000000000000",NULL
"Full-time","18","300000.000000000000",NULL
"Full-time","1","295000.000000000000",NULL
"Full-time","1","290000.000000000000",NULL
"Full-time and Part-time","7","288500.000000000000",NULL
"Full-time","1","288000.000000000000",NULL
"Full-time","2","287500.000000000000",NULL
"Full-time","1","285500.000000000000",NULL
"Full-time","3","285000.000000000000",NULL
"Full-time","1","284016.000000000000",NULL
"Full-time","1","284000.000000000000",NULL
"Full-time","1","282500.000000000000",NULL
"Full-time","10","281450.500000000000",NULL
"Full-time","1","281070.000000000000",NULL
"Full-time","2","280000.000000000000",NULL
"Full-time","1","279000.000000000000",NULL
"Full-time","9","277500.000000000000",NULL
"Full-time","7","275000.000000000000",NULL
"Full-time","1","274675.000000000000",NULL
"Full-time","2","274500.000000000000",NULL
"Full-time","2","274000.000000000000",NULL
"Full-time","1","273555.000000000000",NULL
"Full-time","4","272500.000000000000",NULL
"Full-time","1","271500.000000000000",NULL
"Full-time","1","270018.000000000000",NULL
