"job_country","name","count"
"United States","Booz Allen Hamilton","2508"
"United States","Insight Global","1939"
"United States","Capital One","1688"
"United States","Robert Half","1512"
"United States","UnitedHealth Group","1408"
"United States","Walmart","1404"
"United Kingdom","Harnham","1221"
"United States","Citi","1000"
"United States","Upwork","975"
"United States","Deloitte","930"
"United States","Leidos","902"
"United States","Motion Recruitment","819"
"United States","Wells Fargo","781"
"United States","Harnham","747"
"United States","Peraton","746"
"Italy","JobLeads GmbH","703"
"United States","Tesla","673"
"United States","Diverse Lynx","638"
"United States","Fidelity Investments","622"
"United States","Apple","584"
